"For the fulness of mine intent is that I may persuade men to come unto the God of Abraham, and the God of Isaac, and the God of Jacob, and be saved.  1 Nephi 6:4",
"If you pay the price of revelation, humble yourself, read, pray, and repent, the heavens will open and you will know, as I know, that Jesus is the Christ, He is my Savior, and He is yours.  Joaquin E. Costa",
"True conversion occurs as you continue to act upon the doctrines you know are true and keep the commandments, day after day, month after month.  Bonnie L. Oscarson",
"As we better understand who we are and the purposes of the Book of Mormon, our conversion deepens and becomes more certain. We are strengthened in our commitment to keep the covenants we have made with God.  Shayne M. Bowen",
"I urge you, with all the hope of my heart, to pray to understand your spiritual gifts to cultivate, use, and expand them, even more than you ever have. You will change the world as you do so. @NelsonRussellM",
"Questions are an invitation to build our faith and should not fuel a passing moment of deceiving doubt. It is the very essence of religion not to have a sure answer to every question, for this is one of the purposes of faith.  Ian S. Ardern",
"Every one of us can strengthen our faith in Jesus Christ on our individual journey and find joy.  Rosemary M. Wixom",
"It takes great love to feel the needs of someone else more than your own. That is the pure love of Christ for the person you nurture. @EyringHB",
"We achieve [the] abundant life not by focusing on our own needs or on our own achievements but by becoming true disciples of Jesus Christ by following in His ways and engaging in His work. @UchtdorfDF",
"I am come that they might have life, and that they might have it more abundantly.  John 10:10",
"When we take upon us the name of Christ, we accept Him as our Savior. . . . In every meaningful decision we make, we can take His gospel to be true and obediently live it with all of our heart, might, mind, and strength.  Paul B. Pieper",
"Thy faithfulness is stronger than the cords of death.  Doctrine and Covenants 121:44",
"When we have felt, or feel, uncertain, alone, frustrated, angry, let down, disappointed, or estranged from God and His restored Church, it may take an extra measure of effort and faith to enter again on His covenant path. But it is worth it! @GerritWGong",
"I believe we can do much better and should do better in welcoming new friends into the Church. I invite you to consider what we can do to be more embracing, accepting, and helpful to them, starting this very next Sunday. @Ulisses__Soares ",
"My prayer for each of us is a plea to have the heart to bear our burdens, make necessary sacrifices, and have the will to do and to give. I promise that the Lord will not leave you wanting.  O. Vincent Haleck",
"[Become] as a child, submissive, meek, humble, patient, full of love, willing to submit to all things which the Lord seeth fit to inflict upon him, even as a child doth submit to his father.  Mosiah 3:19",
"True worship begins when our hearts are right before the Father and the Son. What is our heart condition today?  Neill F. Marriott",
"As we solidify in our lives the practice of listening to and heeding the voice of the living prophets, our lives will be built according to the Lord's divine pattern for us, and we will reap eternal blessings.  Dean M. Davies",
"Only as we gather together in one all things in Christ, with firm focus upon Him, can gospel truths synergistically enable us to become what God desires us to become and endure valiantly to the end. @BednarDavidA ",
"Ye will teach [your children] to walk in the ways of truth and soberness; ye will teach them to love one another, and to serve one another.  Mosiah 4:15",
"Our homes should be places where the Spirit of the Lord is felt in rich abundance and where the scriptures and the gospel are studied, taught, and lived. . . . Let us defend the home as a place which is second only to the temple in holiness.  Bonnie L. Oscarson ",
"The Savior is your perfect example of how you will play a major part in His move to place greater emphasis on gospel learning in the home and family. @EyringHB",
"Lessons are learned in a home the place that can become a piece of heaven here on earth.  Enrique R. Falabella",
"Lessons taught through the traditions we establish in our homes, though small and simple, are increasingly important in today's world. What are the small and simple things that, when established, will perform a great work in the lives of our children?  Stephen R. Bangerter",
"Remember, remember that it is upon the rock of our Redeemer, who is Christ, the Son of God, that ye must build your foundation; that when the devil shall send forth his mighty winds . . . it shall have no power over you.  Helaman 5:12",
"Our homes become holy places when we as individuals and families take responsibility for our own gospel learning.  Carole M. Stephens",
"Our purpose is to balance the Church and the home experiences in a way that will greatly increase faith and spirituality and deepen conversion to Heavenly Father and the Lord Jesus Christ. @CookQuentinL",
"We have become accustomed to thinking of 'church' as something that happens in our meetinghouses . . . We need an adjustment to this pattern. It is time for a home-centered Church, supported by what takes place inside our branch, ward, and stake buildings. @NelsonRussellM ",
"Mortality's great lessons distill upon our souls as we learn and teach in eternal roles, including child and parent, parent and child. @GerritWGong",
"It is extremely important that we do not make decisions of eternal value from the perspective of mortality. For decisions that affect eternity, having a gospel perspective is essential.  Rafael E. Pino",
"As covenant-keeping women and men, we need to lift each other and help each other become the people the Lord would have us become.  Linda K. Burton",
"Whoso would hearken unto the word of God, and would hold fast unto it, they would never perish; neither could the temptations and the fiery darts of the adversary overpower them unto blindness, to lead them away to destruction.  1 Nephi 15:24",
"The arrival of a typhoon is no time to dust off the gift of the Holy Ghost and figure out how to use it.  Larry Y. Wilson ",
